문제 이름,최소값,최대값,평균값
instances\problem_100_0.5.json,386891,416642,398410.6666666667
instances\problem_100_0.7.json,535321,567891,554031.7
instances\problem_100_0.85.json,403238,434861,415476.23333333334
instances\problem_130_0.5.json,452163,513881,472989.86666666664
instances\problem_130_0.7.json,485514,557349,504738.76666666666
instances\problem_130_0.85.json,475031,526296,496169.63333333336
instances\problem_150_0.5.json,454836,521167,489761.0
instances\problem_150_0.7.json,454474,535121,501946.2
instances\problem_150_0.85.json,449069,534863,493104.56666666665
instances\problem_20_0.7.json,160687,160687,160687.0
instances\problem_30_0.7.json,197611,201101,198048.26666666666
instances\problem_50_0.5.json,277651,285501,279963.06666666665
instances\problem_50_0.7.json,259262,269269,262479.93333333335
instances\problem_50_0.85.json,244749,249123,245500.03333333333
instances\problem_70_0.5.json,297335,308208,299223.6
